,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.95, 0.1, 7.5, 0.99)",65.42600000000003,65.91800000000003,48.995999999999995,48.995999999999995,63.93649999999997,58.94059999999996,54.49499999999999,54.49499999999999,55.75029999999999,53.88929999999999,54.37985,53.13280000000001
"(0.95, 0.1, 8.0, 0.95)",67.427,64.93050000000002,48.49650000000001,48.49650000000001,64.93139999999998,61.94804999999997,55.991499999999995,55.492999999999995,50.92349999999999,50.85780000000002,52.48079999999999,52.056549999999994
"(0.95, 0.1, 8.0, 0.96)",66.92900000000002,66.42300000000002,47.997,47.997,63.95914999999998,64.42644999999997,54.49099999999999,53.99249999999999,51.477000000000004,47.38674999999999,48.3213,49.658350000000006
"(0.95, 0.1, 8.0, 0.97)",67.424,66.41900000000003,47.4975,47.4975,63.94749999999999,62.926699999999954,53.4935,52.995,50.73164999999999,52.08169999999999,49.21664999999998,49.43365
"(0.95, 0.1, 8.0, 0.98)",67.91850000000002,66.41950000000003,47.997,47.997,61.94854999999998,60.43829999999997,53.99499999999999,53.99499999999999,50.722599999999986,53.0965,48.971599999999995,48.10410000000001
"(0.95, 0.1, 8.0, 0.99)",65.92200000000003,65.91800000000003,48.4965,48.4965,62.95354999999997,59.43619999999997,54.99349999999999,54.99349999999999,52.215399999999974,51.789999999999985,55.67434999999998,54.34354999999999
"(0.95, 0.1, 8.5, 0.95)",67.4265,64.92950000000003,48.49750000000001,48.49750000000001,64.92589999999998,60.958999999999975,55.991499999999995,55.492999999999995,50.20424999999998,49.18184999999998,52.80049999999997,52.59599999999998
"(0.95, 0.1, 8.5, 0.96)",67.42550000000001,65.92850000000001,47.997,47.997,65.42084999999997,63.445599999999956,55.491499999999995,54.992999999999995,51.301749999999984,51.18959999999997,50.03285000000001,50.090050000000026
"(0.95, 0.1, 8.5, 0.97)",66.43100000000001,66.41950000000003,47.4975,47.4975,62.942449999999994,62.94354999999996,53.99299999999999,53.49449999999999,52.20045000000002,49.34565,49.03749999999998,49.85889999999999
"(0.95, 0.1, 8.5, 0.98)",67.91850000000002,66.41950000000003,47.997,47.997,62.94149999999998,60.943849999999934,52.99549999999999,52.99549999999999,52.05154999999999,51.231849999999994,50.76594999999998,50.8487
"(0.95, 0.1, 8.5, 0.99)",65.92100000000003,65.91800000000003,48.4965,48.4965,61.46454999999997,57.95934999999998,54.99349999999999,54.99349999999999,53.60749999999997,51.631499999999974,54.087949999999985,53.384649999999986
"(0.95, 0.1, 9.0, 0.95)",66.92150000000001,63.92950000000003,48.49750000000001,48.49750000000001,64.42139999999999,60.956549999999986,55.991499999999995,55.492999999999995,49.816449999999996,52.12490000000001,54.79614999999999,55.91345
"(0.95, 0.1, 9.0, 0.96)",67.42600000000002,65.43000000000002,48.49650000000001,48.49650000000001,66.90939999999998,61.44944999999997,55.991499999999995,55.492999999999995,46.95345000000002,48.6679,51.892799999999994,51.97
"(0.95, 0.1, 9.0, 0.97)",66.43350000000001,66.91950000000003,47.4975,47.4975,64.91279999999999,62.45459999999997,54.99299999999999,54.49449999999999,51.799449999999965,50.77429999999997,47.63430000000001,46.96690000000002
"(0.95, 0.1, 9.0, 0.98)",67.42050000000002,65.92100000000002,47.997,47.997,63.43799999999998,60.95409999999993,53.49449999999999,53.49449999999999,51.500149999999955,50.67959999999995,49.43154999999999,49.38135
"(0.95, 0.1, 9.0, 0.99)",65.92450000000002,66.41750000000003,48.4965,48.4965,62.45204999999997,58.96194999999997,53.99499999999999,53.99499999999999,54.47654999999999,54.8618,52.646699999999974,52.395749999999985
"(0.95, 0.1, 9.5, 0.95)",66.42600000000002,63.92950000000003,48.49750000000001,48.49750000000001,63.42429999999998,59.96759999999999,56.49099999999999,55.99249999999999,49.939150000000026,53.003750000000025,55.0793,55.01090000000001
"(0.95, 0.1, 9.5, 0.96)",67.4265,64.93100000000003,48.49650000000001,48.49650000000001,67.40839999999999,61.45549999999997,55.991499999999995,55.492999999999995,49.65870000000002,51.03690000000002,52.94099999999999,54.1808
"(0.95, 0.1, 9.5, 0.97)",66.92950000000002,66.91900000000003,47.4975,47.4975,64.91329999999998,61.96314999999996,55.992499999999986,55.493999999999986,48.320999999999984,48.982399999999984,52.4214,52.4685
"(0.95, 0.1, 9.5, 0.98)",66.92500000000003,65.92150000000001,47.997,47.997,64.93759999999999,61.95914999999994,53.99299999999999,53.49449999999999,48.247499999999974,47.39019999999997,51.90464999999998,51.563749999999985
"(0.95, 0.1, 9.5, 0.99)",66.42350000000002,66.41800000000003,48.4965,48.4965,61.461599999999976,59.95599999999997,53.993999999999986,53.993999999999986,52.8359,52.279450000000026,52.97584999999997,53.264849999999974
